Oil,Gas,Date
27.23,1.372,2008-02-18
27.23,1.359,2008-10-22
68.47,1.345,2009-06-24
46.56,1.286,2009-09-26
24.64,1.286,2009-09-30
24.91,1.311,2009-12-19
24.91,1.413,2010-05-29
25.18,1.399,2010-08-04
96.84,1.543,2011-01-21
57.2,1.634,2011-05-22
57.2,1.57,2011-07-02
57.2,1.714,2012-01-22
17.55,1.721,2012-10-02
15.93,1.737,2012-10-16
16.05,1.696,2012-10-22
15.99,1.644,2012-10-24
16.25,1.624,2012-10-26
15.21,1.634,2012-10-30
107.23,1.653,2012-11-08
110.23,1.653,2012-11-12
108.82,1.65,2012-11-13
106.81,1.631,2012-11-16
61.44,1.616,2012-11-24
61.44,1.619,2012-11-25
61.44,1.632,2012-12-02
16.07,1.632,2012-12-10
15.34,1.632,2012-12-16
15.34,1.632,2012-12-30
14.6,1.652,2012-12-31
112.97,1.652,2013-01-10
110.3,1.652,2013-01-11
111.01,1.642,2013-01-12
111.72,1.646,2013-01-15
111.01,1.646,2013-01-17
111.71,1.677,2013-01-18
112.22,1.692,2013-01-19
112.72,1.692,2013-01-22
113.68,1.692,2013-01-23
114.45,1.699,2013-01-26
115.22,1.699,2013-01-29
115.55,1.654,2013-01-31
10.52,1.654,2013-02-04
10.29,1.672,2013-02-12
9.88,1.656,2013-02-21
9.77,1.656,2013-02-22
9.97,1.656,2013-02-25
10.42,1.656,2013-02-27
110.14,1.656,2013-03-01
108.27,1.656,2013-03-20
108.51,1.656,2013-03-24
107.99,1.656,2013-03-27
107.47,1.656,2013-03-29
107.89,1.656,2013-07-30
12.05,1.656,2013-07-31
12.11,1.656,2013-08-01
12.08,1.652,2013-08-02
12.08,1.646,2013-08-03
12.06,1.646,2013-08-04
11.9,1.646,2013-08-05
12.24,1.646,2013-08-06
108.39,1.646,2013-08-07
12.43,1.646,2013-08-08
12.15,1.654,2013-08-09
12.08,1.654,2013-08-10
12.08,1.657,2013-08-11
12.02,1.657,2013-08-12
12.21,1.657,2013-08-13
11.99,1.657,2013-08-14
11.87,1.657,2013-08-15
11.93,1.657,2013-08-16
11.7,1.661,2013-08-17
11.7,1.661,2013-08-18
11.46,1.661,2013-08-19
11.48,1.661,2013-08-20
11.24,1.661,2013-08-21
11.16,1.661,2013-08-22
11.62,1.656,2013-08-23
11.84,1.652,2013-08-24
11.84,1.634,2013-08-25
12.05,1.634,2013-08-26
12.08,1.634,2013-08-27
12.32,1.631,2013-08-28
12.03,1.631,2013-08-29
12.04,1.617,2013-08-30
12.34,1.599,2013-08-31
12.34,1.599,2013-09-01
12.34,1.599,2013-09-02
12.63,1.599,2013-09-03
12.55,1.599,2013-09-04
12.6,1.599,2013-09-05
12.74,1.596,2013-09-06
12.64,1.592,2013-09-07
12.64,1.592,2013-09-08
12.53,1.592,2013-09-09
12.05,1.592,2013-09-10
12.23,1.592,2013-09-11
12.21,1.592,2013-09-12
12.01,1.589,2013-09-13
12.06,1.589,2013-09-14
12.06,1.589,2013-09-15
12.11,1.589,2013-09-16
12.38,1.589,2013-09-17
11.79,1.589,2013-09-19
11.83,1.596,2013-09-20
11.7,1.596,2013-09-21
11.7,1.596,2013-09-22
11.56,1.596,2013-09-23
11.61,1.596,2013-09-24
11.61,1.596,2013-09-25
11.71,1.596,2013-09-26
11.66,1.599,2013-09-27
11.68,1.599,2013-09-28
11.68,1.599,2013-09-29
11.7,1.599,2013-09-30
11.79,1.599,2013-10-01
11.95,1.599,2013-10-02
11.93,1.594,2013-10-03
11.84,1.586,2013-10-04
11.84,1.586,2013-10-05
11.84,1.586,2013-10-06
11.83,1.586,2013-10-07
12.04,1.586,2013-10-08
11.94,1.621,2013-10-09
12.5,1.431,2013-10-10
12.09,1.351,2013-10-11
11.66,1.499,2013-10-12
11.66,1.506,2013-10-13
11.23,1.556,2013-10-14
10.89,1.479,2013-10-15
