Date,Oil,Gas
2008-02-18,68.47,1.372
2008-10-22,68.47,1.359
2009-06-24,65.82,1.345
2009-09-26,74.79,1.286
2009-09-30,83.76,1.286
2009-12-19,90.3,1.311
2010-05-29,90.3,1.413
2010-08-04,96.84,1.399
2011-01-21,112.49,1.543
2011-05-22,113.74,1.634
2011-07-02,113.74,1.57
2012-01-22,113.74,1.714
2012-10-02,115.0,1.721
2012-10-16,109.62,1.737
2012-10-22,107.66,1.696
2012-10-24,108.9,1.644
2012-10-26,107.23,1.624
2012-10-30,110.23,1.624
2012-11-08,108.82,1.634
2012-11-12,106.81,1.653
2012-11-13,108.25,1.653
2012-11-16,110.8,1.65
2012-11-24,111.88,1.616
2012-11-25,111.88,1.619
2012-12-02,111.88,1.632
2012-12-10,112.97,1.632
2012-12-16,111.64,1.632
2012-12-30,111.64,1.632
2012-12-31,110.3,1.652
2013-01-10,111.72,1.652
2013-01-11,111.01,1.652
2013-01-12,111.36,1.652
2013-01-15,111.71,1.642
2013-01-17,112.72,1.646
2013-01-18,113.68,1.646
2013-01-19,114.45,1.677
2013-01-22,115.22,1.692
2013-01-23,115.55,1.692
2013-01-26,115.8,1.692
2013-01-29,116.06,1.699
2013-01-31,117.89,1.699
2013-02-04,114.19,1.654
2013-02-12,113.74,1.654
2013-02-21,114.55,1.672
2013-02-22,112.24,1.672
2013-02-25,110.14,1.656
2013-02-27,108.27,1.656
2013-03-01,108.51,1.656
2013-03-20,107.47,1.656
2013-03-24,107.68,1.656
2013-03-27,107.89,1.656
2013-03-29,108.92,1.656
2013-07-30,109.94,1.656
2013-07-31,109.63,1.656
2013-08-01,109.81,1.656
2013-08-02,108.77,1.656
2013-08-03,108.58,1.656
2013-08-04,108.58,1.652
2013-08-05,108.39,1.646
2013-08-06,108.49,1.646
2013-08-07,109.28,1.646
2013-08-08,110.69,1.646
2013-08-09,110.26,1.646
2013-08-10,110.92,1.646
2013-08-11,110.92,1.654
2013-08-12,111.58,1.654
2013-08-13,111.82,1.657
2013-08-14,111.41,1.657
2013-08-15,110.74,1.657
2013-08-16,110.82,1.657
2013-08-17,110.66,1.657
2013-08-18,110.66,1.657
2013-08-19,110.51,1.661
2013-08-20,112.12,1.661
2013-08-21,112.23,1.656
2013-08-22,115.21,1.652
2013-08-23,116.27,1.634
2013-08-24,116.59,1.634
2013-08-25,116.59,1.634
2013-08-26,116.91,1.631
2013-08-27,115.97,1.617
2013-08-28,115.49,1.599
2013-08-29,115.65,1.599
2013-08-30,115.81,1.599
2013-08-31,116.48,1.599
2013-09-01,116.48,1.596
2013-09-02,116.48,1.592
2013-09-03,117.15,1.592
2013-09-04,115.2,1.592
2013-09-05,112.1,1.592
2013-09-06,112.37,1.592
2013-09-07,112.74,1.592
2013-09-08,112.74,1.589
2013-09-09,113.11,1.589
2013-09-10,113.31,1.589
2013-09-11,110.86,1.589
2013-09-12,109.05,1.589
2013-09-13,110.66,1.589
2013-09-14,110.44,1.596
2013-09-15,110.44,1.596
2013-09-16,110.22,1.596
2013-09-17,108.56,1.596
2013-09-19,107.68,1.596
2013-09-20,109.46,1.596
2013-09-21,109.16,1.596
2013-09-22,109.16,1.599
2013-09-23,108.86,1.599
2013-09-24,109.45,1.599
2013-09-25,107.85,1.599
2013-09-26,107.32,1.599
2013-09-27,107.32,1.599
2013-09-28,108.2,1.586
2013-09-29,108.2,1.586
2013-09-30,109.09,1.586
2013-10-01,109.49,1.586
2013-10-02,109.42,1.586
2013-10-03,109.66,1.586
2013-10-04,110.56,1.584
2013-10-05,109.79,1.621
2013-10-06,109.79,1.536
2013-10-07,109.02,1.431
2013-10-08,111.63,1.376
2013-10-09,110.65,1.376
2013-10-10,110.13,1.351
2013-10-11,110.67,1.499
2013-10-12,110.73,1.506
2013-10-13,110.73,1.556
2013-10-14,110.79,1.479
2013-10-15,109.55,1.551
2013-10-16,109.4,1.564
2013-10-17,109.4,1.577
2013-10-18,109.47,1.577
