Date,Price,Predicted_Gas
2024-11-12,72.56,1.591
2024-11-11,72.19,1.59
2024-11-08,74.04,1.594
2024-11-07,75.73,1.598
2024-11-06,76.52,1.6
2024-11-05,76.98,1.601
2024-11-04,74.89,1.596
2024-11-01,73.63,1.593
2024-10-31,73.25,1.593
2024-10-30,73.21,1.592
2024-10-29,71.09,1.588
2024-10-28,71.87,1.589
2024-10-25,75.62,1.598
2024-10-24,74.27,1.595
2024-10-23,74.68,1.596
2024-10-22,75.59,1.598
2024-10-21,73.29,1.593
2024-10-18,72.75,1.591
2024-10-17,74.37,1.595
2024-10-16,73.65,1.594
2024-10-15,73.68,1.594
2024-10-14,78.47,1.605
2024-10-11,80.27,1.609
2024-10-10,79.45,1.607
2024-10-09,77.06,1.602
2024-10-08,78.19,1.604
2024-10-07,81.74,1.612
2024-10-04,79.32,1.607
2024-10-03,77.57,1.603
2024-10-02,74.86,1.596
2024-10-01,75.3,1.597
2024-09-30,72.35,1.59
2024-09-27,71.63,1.589
2024-09-26,73.06,1.592
2024-09-25,75.4,1.598
2024-09-24,75.29,1.597
2024-09-23,74.95,1.597
2024-09-20,75.96,1.599
2024-09-19,75.93,1.599
2024-09-18,74.52,1.596
2024-09-17,74.55,1.596
2024-09-16,73.96,1.594
2024-09-13,73.68,1.594
2024-09-12,73.81,1.594
2024-09-11,70.31,1.586
2024-09-10,70.34,1.586
2024-09-09,72.37,1.591
2024-09-06,72.82,1.592
2024-09-05,74.47,1.595
2024-09-04,74.67,1.596
2024-09-03,76.46,1.6
2024-09-02,77.82,1.603
2024-08-30,80.2,1.609
2024-08-29,81.55,1.612
2024-08-28,80.04,1.608
2024-08-27,81.51,1.612
2024-08-23,80.34,1.609
2024-08-22,78.8,1.606
2024-08-21,78.77,1.606
2024-08-20,78.85,1.606
2024-08-19,81.09,1.611
2024-08-16,81.56,1.612
2024-08-15,83.09,1.616
2024-08-14,82.15,1.613
2024-08-13,82.51,1.614
2024-08-12,83.06,1.616
2024-08-09,81.07,1.611
2024-08-08,80.76,1.61
2024-08-07,78.26,1.604
2024-08-06,76.62,1.6
2024-08-05,77.51,1.603
2024-08-02,78.35,1.605
2024-08-01,81.37,1.612
2024-07-31,81.39,1.612
2024-07-30,79.26,1.607
2024-07-29,80.94,1.611
2024-07-26,81.35,1.612
2024-07-25,82.58,1.614
2024-07-24,83.01,1.615
2024-07-23,82.2,1.614
2024-07-22,83.44,1.616
2024-07-19,85.19,1.621
2024-07-18,86.26,1.623
2024-07-17,85.76,1.622
2024-07-16,86.6,1.624
2024-07-15,86.42,1.623
2024-07-12,87.35,1.626
2024-07-11,86.49,1.624
2024-07-10,86.55,1.624
2024-07-09,86.48,1.624
2024-07-08,87.15,1.625
2024-07-05,88.66,1.629
2024-07-04,88.34,1.628
2024-07-03,88.25,1.628
2024-07-02,88.28,1.628
2024-07-01,86.57,1.624
2024-06-28,87.26,1.625
2024-06-27,87.0,1.625
2024-06-26,85.76,1.622
2024-06-25,86.81,1.624
2024-06-24,86.75,1.624
2024-06-21,86.42,1.623
2024-06-20,85.92,1.622
2024-06-19,85.64,1.622
2024-06-18,84.79,1.62
2024-06-17,82.45,1.614
2024-06-14,81.49,1.612
2024-06-13,81.44,1.612
2024-06-12,80.52,1.61
2024-06-11,80.15,1.609
2024-06-10,79.59,1.607
2024-06-07,78.12,1.604
2024-06-06,77.62,1.603
2024-06-05,75.41,1.598
2024-06-04,75.33,1.597
2024-06-03,76.45,1.6
2024-05-31,79.41,1.607
2024-05-30,81.42,1.612
2024-05-29,81.5,1.612
2024-05-28,81.34,1.612
2024-05-24,78.92,1.606
2024-05-23,79.25,1.607
2024-05-22,79.9,1.608
2024-05-21,81.22,1.611
2024-05-20,81.91,1.613
2024-05-17,82.24,1.614
2024-05-16,81.65,1.612
2024-05-15,79.98,1.608
2024-05-14,81.0,1.611
2024-05-13,83.18,1.616
2024-05-10,83.39,1.616
2024-05-09,83.27,1.616
2024-05-08,82.44,1.614
