Price,Date
1.372,2008-02-18
1.359,2008-10-22
1.345,2009-06-24
1.286,2009-09-26
1.286,2009-09-30
1.311,2009-12-19
1.413,2010-05-29
1.399,2010-08-04
1.543,2011-01-21
1.634,2011-05-22
1.57,2011-07-02
1.641,2012-01-22
1.714,2012-10-02
1.721,2012-10-16
1.737,2012-10-22
1.696,2012-10-24
1.674,2012-10-26
1.644,2012-10-30
1.624,2012-11-08
1.624,2012-11-12
1.627,2012-11-13
1.634,2012-11-16
1.653,2012-11-24
1.653,2012-11-25
1.65,2012-12-02
1.631,2012-12-10
1.616,2012-12-16
1.616,2012-12-30
1.619,2012-12-31
1.632,2013-01-10
1.632,2013-01-11
1.632,2013-01-12
1.632,2013-01-15
1.652,2013-01-17
1.652,2013-01-18
1.652,2013-01-19
1.652,2013-01-22
1.629,2013-01-23
1.629,2013-01-26
1.642,2013-01-29
1.646,2013-01-31
1.646,2013-02-04
1.677,2013-02-12
1.692,2013-02-21
1.692,2013-02-22
1.692,2013-02-25
1.699,2013-02-27
1.699,2013-03-01
1.654,2013-03-20
1.654,2013-03-24
1.672,2013-03-27
1.672,2013-03-29
1.681,2013-07-30
1.656,2013-07-31
1.656,2013-08-01
1.656,2013-08-02
1.656,2013-08-03
1.656,2013-08-04
1.656,2013-08-05
1.656,2013-08-06
1.656,2013-08-07
1.656,2013-08-08
1.656,2013-08-09
1.656,2013-08-10
1.656,2013-08-11
1.652,2013-08-12
1.646,2013-08-13
1.646,2013-08-14
1.646,2013-08-15
1.646,2013-08-16
1.646,2013-08-17
1.646,2013-08-18
1.654,2013-08-19
1.654,2013-08-20
1.657,2013-08-21
1.657,2013-08-22
1.657,2013-08-23
1.657,2013-08-24
1.657,2013-08-25
1.657,2013-08-26
1.657,2013-08-27
1.661,2013-08-28
1.661,2013-08-29
1.661,2013-08-30
1.661,2013-08-31
1.661,2013-09-01
1.661,2013-09-02
1.656,2013-09-03
1.686,2013-09-04
1.686,2013-09-05
1.686,2013-09-06
1.686,2013-09-07
1.686,2013-09-08
1.686,2013-09-09
1.682,2013-09-10
1.676,2013-09-11
1.676,2013-09-12
1.676,2013-09-13
1.676,2013-09-14
1.676,2013-09-15
1.676,2013-09-16
1.652,2013-09-17
1.634,2013-09-19
